ocid,n_item,descripcion_item,cantidad,unidad_medida,fecha_convocatoria,fecha_buena_pro,fecha_suscripcion,monto_referencial,monto_adjudicado,monto_contratado,monto_adicional,ruc_comprador,nombre_comprador,departamento_comprador,red_candidato,red_metodo,ruc_proveedor,nombre_proveedor,metodo_contratacion,detalles_metodo,causal_cd,es_contratacion_directa,estado_adjudicacion,tiene_adenda,anio_fiscal,_fuente,_codigoconvocatoria,_descripcion_proceso,_departamento_item,_estado_item,_ratio_adicional,_monto_reduccion,_monto_prorroga,_monto_complementario
ocds-dgv273-seacev3-2025-2543-1179697,1,Clavo intramedular bloqueado para femur di¿metro 12 mm,144.0,Unidad,2025-12-18,2026-01-16,,564480.0,532800.0,,0.0,20131257750,SEGURO SOCIAL DE  SALUD,LIMA,RED PRESTACIONAL SABOGAL,NOMBRE_TEXTO,20611603186,SALMED S.A.C.,open,Adjudicación Simplificada,,False,,False,2025,PROCESO,1179697,ADQUISICION POR UN PERIODO DE DOCE (12) MESES DE DISPOSITIVOS MEDICOS CLAVOS INTRAMEDULAR PARA FEMUR PARA EL SERVICIO DE TRAUMATOLOGIA DEL DEPARTAMENTO DE CIRUGIA II DE LA GERENCIA QUIRURGICA DEL HOSPITAL NACIONAL ALBERTO SABOGAL SOLOGUREN DE LA RED PRESTACIONAL SABOGAL,CALLAO,Consentido,,,,
ocds-dgv273-seacev3-2025-2543-1156886,1,"SUMINISTRO DE REACTIVOS PARA AFERESIS SANGUINEA AUTOMATIZADA CON EQUIPOS EN CESI¿N DE USO PARA LA RED ASISTENCIAL HU¿NUCO, PARA UN PERIODO DE 12 MESES",1.0,Unidad,2025-10-02,2025-10-23,,187650.0,187650.0,,0.0,20131257750,SEGURO SOCIAL DE  SALUD,LIMA,RED ASISTENCIAL HUÁNUCO,NOMBRE_TEXTO,20469936164,TERUMO BCT PERU S.A.C.,open,Licitación Pública Abreviada,,False,,False,2025,PROCESO,1156886,"SUMINISTRO DE REACTIVOS PARA AFERESIS SANGUINEA AUTOMATIZADA CON EQUIPOS EN CESIÓN DE USO PARA LA RED ASISTENCIAL HUÁNUCO, PARA UN PERIODO DE 12 MESES",HUANUCO,Consentido,,,,
ocds-dgv273-seacev3-2025-2543-1097426,14,ENOXAPARINA SODICA100 MG/ML X 0.4 ML ¿ 40 MG AM,434604.0,Unidad,2025-03-13,2025-12-19,2026-01-29,4824104.4,2977037.4,2977037.4,0.0,20131257750,SEGURO SOCIAL DE  SALUD,LIMA,,SIN_RED,20600413571,FARMA MIAVIDA SOCIEDAD ANONIMA CERRADA,open,Subasta Inversa Electrónica,,False,,False,2025,PROCESO,1097426,CONTRATACIÓN DEL SUMINISTRO DE PRODUCTOS FARMACÉUTICOS PARA LOS ESTABLECIMIENTOS DE SALUD DE LAS REDES ASISTENCIALES DE ESSALUD-37 ÍTEMS.,MULTIDEPARTAMENTAL,Contratado,,,,
ocds-dgv273-seacev3-2025-2543-1171523,1,ADQUISICION DE REACTIVOS DE LABORATORIO PARA HEMOCULTIVOS ¿ SERVICIO DE MICROBIOLOGIA DEL HOSPITAL NACIONAL EDGARDO REBAGLIATI MARTINS,1.0,Unidad,2025-11-20,2026-03-05,2026-03-26,1741031.0,1539600.0,1539600.0,0.0,20131257750,SEGURO SOCIAL DE  SALUD,LIMA,,SIN_RED,20501887286,DIAGNOSTICA PERUANA S.A.C.,open,Adjudicación Simplificada,,False,,False,2025,PROCESO,1171523,ADQUISICION DE REACTIVOS DE LABORATORIO (HEMOCULTIVOS) PARA EL SERVICIO DE MICROBIOLOGIA DEL HOSPITAL NACIONAL EDGARDO REBAGLIATI MARTINS,LIMA,Contratado,,,,
ocds-dgv273-seacev3-2025-2543-1148529,10,"HALOPERIDOL, 5 mg/mL, INYECTABLE, 1 mL",165400.0,Unidad,2025-08-27,2025-09-17,2025-10-09,480321.6,185248.0,185248.0,0.0,20131257750,SEGURO SOCIAL DE  SALUD,LIMA,,SIN_RED,20100018625,MEDIFARMA S A,open,Adjudicación Simplificada,,False,,False,2025,PROCESO,1148529,"CONTRATACION DE SUMINISTRO DE PRODUCTOS FARMACEUTICOS, PARA LOS ESTABLECIMIENTOS DE SALUD DE LAS REDES ASISTENCIALES DE ESSALUD 39 ITEMS-12 ITEMS DERIVADO DE LA SUBASTA INVERSA N°24-2024-ESSALUD/CEABE-1",LIMA,Contratado,,,,
ocds-dgv273-seacev3-2025-2543-1182902,4,CATETER DE CANASTILLA (DORMIA) PARA EXTRACCION DE CALCULOS ENDOSCOPICAMENTE,144.0,Unidad,2025-12-30,2026-04-09,2026-05-15,164640.0,79200.0,79200.0,0.0,20131257750,SEGURO SOCIAL DE  SALUD,LIMA,,SIN_RED,20563794101,ENDOMED TECNOLOGHIES S.A.C.,open,Licitación Pública,,False,,False,2025,PROCESO,1182902,CONTRATACIÓN DEL SUMINISTRO DE MATERIAL MEDICO DE LA ESPECIALIDAD DE UROLOGIA Y GINECOLOGIA PARA ABASTECIMIENTO Y DISTRIBUCION DEL HOSPITAL ALMANZOR AGUINAGA ASENJO (HNAAA)- RPL.,LAMBAYEQUE,Contratado,,,,
ocds-dgv273-seacev3-2025-2543-1156875,1,ADQUISICION DE CARTUCHO DE OXIDO DE ETILENO 100 PORCENTAJE X 170 G PARA EL HNERM,1200.0,Unidad,2025-10-02,2025-11-14,2025-12-05,92400.0,88200.0,88200.0,0.0,20131257750,SEGURO SOCIAL DE  SALUD,LIMA,,SIN_RED,20197705249,UNILENE S.A.C.,open,Licitación Pública Abreviada,,False,,False,2025,PROCESO,1156875,ADQUISICION DE CARTUCHO DE OXIDO DE ETILENO 100 PORCENTAJE X 170 G PARA EL HNERM,LIMA,Contratado,,,,
ocds-dgv273-seacev3-2025-2543-1194729,1,SUTURA DE SEDA NEGRA TRENZADA N.2/0 C/A  1/2 CC  25 MM,99782.0,Unidad,2025-09-24,2026-03-10,,338260.98,229498.6,,0.0,20131257750,SEGURO SOCIAL DE  SALUD,LIMA,,SIN_RED,20197705249,UNILENE S.A.C.,open,Licitación Pública,,False,,False,2025,PROCESO,1194729,CONTRATACION DEL SUMINISTRO DE DISPOSITIVOS MEDICOS PARA EL ABASTECIMIENTO Y DISPENSACION EN LOS ESTABLECIMIENTOS DE SALUD A NIVEL NACIONAL PARA LA ATENCION DE LOS ASEGURADOS Y DERECHOHABIENTES POR UN PERIODO DE DOCE (12) MESES - MATERIAL MEDICO 02 ITEMS,LIMA,Consentido,,,,
ocds-dgv273-seacev3-2025-2543-1169058,1,FACTOR VIII COMPLEJO 500 UI INY,288.0,Unidad,2025-11-12,2025-12-03,,167999.04,167999.04,,0.0,20131257750,SEGURO SOCIAL DE  SALUD,LIMA,RED PRESTACIONAL SABOGAL- PACIENTE PCJA,NOMBRE_TEXTO,1744721,CONSORCIO QS CONSUMO S.A.C.-NOVO NORDISK PERU S.A.C.,direct,Contratación Directa,,True,,False,2025,PROCESO,1169058,Adquisicion por paciente del Medicamento fuera de Petitorio 10700102 TUROCTOCOG ALFA PEGOL 500 UI AM para el servicio de Hematologia/Pediatrica de la Gerencia Clinica del Hospital Nacional Alberto Sabogal Sologuren de la RED Prestacional Sabogal- paciente PCJA,CALLAO,Adjudicado,,,,
ocds-dgv273-seacev3-2025-2543-1106271,1,CONTRATACION DE SUMINISTRO DE FUENTE DE IRIDIO 192 HDR-V2 PARA BRAQUITERAPIA DEL HOSPITAL DE ALTA COMPLEJIDAD VIRGEN DE LA PUERTA RALL,3.0,Unidad,2025-04-07,2025-04-10,2025-04-23,347484.0,347484.0,347484.0,0.0,20131257750,SEGURO SOCIAL DE  SALUD,LIMA,,SIN_RED,20101337261,ROCA S.A.C.,direct,Contratación Directa,,True,,False,2025,PROCESO,1106271,CONTRATACION DE SUMINISTRO DE FUENTE DE IRIDIO 192 HDR-V2 PARA BRAQUITERAPIA DEL HOSPITAL DE ALTA COMPLEJIDAD VIRGEN DE LA PUERTA RALL,LA LIBERTAD,Contratado,,,,
