iter	Passed	Remaining
0	30	9188
1	68	10168
2	124	12324
3	178	13200
4	251	14849
5	303	14875
6	380	15942
7	448	16375
8	497	16070
9	550	15954
10	603	15866
11	654	15702
12	715	15788
13	777	15891
14	828	15744
15	908	16124
16	957	15941
17	1005	15746
18	1053	15585
19	1101	15417
20	1148	15260
21	1210	15297
22	1260	15175
23	1312	15089
24	1359	14957
25	1413	14900
26	1494	15108
27	1544	14999
28	1597	14928
29	1658	14929
30	1709	14831
31	1757	14722
32	1848	14952
33	1896	14841
34	1947	14748
35	2003	14693
36	2051	14581
37	2100	14483
38	2149	14384
39	2195	14268
40	2240	14153
41	2289	14061
42	2335	13960
43	2391	13912
44	2437	13814
45	2486	13729
46	2533	13635
47	2581	13551
48	2634	13493
49	2683	13415
50	2731	13334
51	2780	13260
52	2846	13264
53	2894	13188
54	2961	13194
55	3010	13115
56	3057	13033
57	3104	12951
58	3165	12929
59	3212	12850
60	3259	12770
61	3322	12753
62	3375	12700
63	3434	12666
64	3484	12596
65	3522	12488
66	3562	12387
67	3613	12327
68	3661	12258
69	3718	12218
70	3765	12146
71	3826	12116
72	3873	12046
73	3923	11982
74	3967	11903
75	4015	11834
76	4034	11683
77	4081	11617
78	4135	11569
79	4190	11523
80	4252	11497
81	4302	11437
82	4352	11380
83	4380	11263
84	4439	11230
85	4488	11167
86	4538	11110
87	4597	11074
88	4645	11012
89	4693	10951
90	4742	10892
91	4795	10842
92	4822	10734
93	4871	10675
94	4926	10631
95	4980	10582
96	4998	10461
97	5045	10400
98	5091	10338
99	5133	10267
100	5184	10214
101	5231	10154
102	5304	10145
103	5352	10087
104	5403	10035
105	5428	9934
106	5491	9905
107	5548	9864
108	5568	9757
109	5615	9699
110	5662	9642
111	5712	9589
112	5759	9531
113	5804	9470
114	5849	9409
115	5894	9349
116	5939	9289
117	5996	9249
118	6045	9195
119	6090	9135
120	6149	9097
121	6193	9036
122	6230	8965
123	6266	8894
124	6306	8829
125	6357	8779
126	6387	8700
127	6429	8640
128	6470	8577
129	6519	8526
130	6566	8471
131	6611	8414
132	6659	8361
133	6682	8278
134	6706	8196
135	6745	8134
136	6799	8090
137	6845	8036
138	6861	7947
139	6950	7942
140	6980	7871
141	7042	7835
142	7091	7786
143	7136	7731
144	7181	7677
145	7229	7625
146	7275	7572
147	7330	7529
148	7376	7475
149	7423	7423
150	7469	7370
151	7516	7318
152	7559	7263
153	7569	7175
154	7611	7120
155	7656	7067
156	7715	7027
157	7765	6979
158	7812	6927
159	7856	6874
160	7873	6797
161	7916	6743
162	7960	6690
163	8005	6638
164	8048	6585
165	8117	6552
166	8162	6500
167	8217	6456
168	8267	6408
169	8317	6360
170	8365	6310
171	8415	6262
172	8463	6212
173	8515	6166
174	8595	6139
175	8642	6088
176	8688	6037
177	8740	5990
178	8789	5941
179	8868	5912
180	8918	5863
181	8929	5789
182	8979	5741
183	9028	5691
184	9076	5642
185	9129	5595
186	9177	5546
187	9236	5502
188	9281	5450
189	9297	5382
190	9361	5342
191	9408	5292
192	9458	5244
193	9516	5199
194	9567	5151
195	9617	5103
196	9665	5053
197	9716	5005
198	9763	4955
199	9841	4920
200	9892	4872
201	9939	4822
202	9991	4774
203	10040	4724
204	10097	4679
205	10148	4631
206	10198	4581
207	10252	4534
208	10301	4485
209	10361	4440
210	10409	4390
211	10461	4342
212	10509	4292
213	10560	4243
214	10611	4195
215	10660	4145
216	10708	4095
217	10757	4046
218	10807	3997
219	10860	3949
220	10910	3900
221	10962	3851
222	11019	3804
223	11068	3755
224	11114	3704
225	11165	3655
226	11214	3606
227	11302	3569
228	11348	3518
229	11397	3468
230	11447	3419
231	11502	3371
232	11565	3325
233	11614	3275
234	11663	3226
235	11710	3175
236	11756	3125
237	11805	3075
238	11853	3025
239	11902	2975
240	11949	2925
241	11997	2875
242	12044	2825
243	12092	2775
244	12142	2725
245	12190	2676
246	12241	2626
247	12287	2576
248	12335	2526
249	12384	2476
250	12434	2427
251	12481	2377
252	12534	2328
253	12582	2278
254	12629	2228
255	12675	2178
256	12722	2128
257	12766	2078
258	12816	2028
259	12869	1979
260	12944	1934
261	13010	1887
262	13070	1838
263	13138	1791
264	13204	1743
265	13260	1694
266	13325	1646
267	13386	1598
268	13445	1549
269	13505	1500
270	13575	1452
271	13626	1402
272	13698	1354
273	13766	1306
274	13834	1257
275	13912	1209
276	13986	1161
277	14054	1112
278	14120	1062
279	14194	1013
280	14269	964
281	14356	916
282	14434	867
283	14503	817
284	14574	767
285	14660	717
286	14737	667
287	14811	617
288	14875	566
289	14945	515
290	15027	464
291	15141	414
292	15208	363
293	15284	311
294	15359	260
295	15444	208
296	15562	157
297	15642	104
298	15713	52
299	15778	0
