fecha_convocatoria,fecha_buena_pro,fecha_suscripcion,lead_time_adjudicacion,lead_time_formalizacion,lead_time_total_proceso,red_asistencial,dpto_entrega_item,tipo_proveedor,denominacion_dci,tipo_proceso_seleccion,es_consorcio,es_uso_critico,es_uso_intrahospitalario,monto_adjudicado_soles,anio,flag_tiene_adenda
2022-04-13,2022-04-26,2022-05-16,13,20,33,red prestacional sabogal,cusco,legal entity,cefalexina 500 mg,adjudicacion simplificada,0,0,0,101165.11,2022,0
2023-12-15,2024-02-03,2024-03-19,50,45,95,red prestacional lambayeque,lima,legal entity,hipromelosa 0.3%,licitacion publica,0,0,1,694535.5,2023,1
2022-09-28,2022-10-28,2022-12-26,30,59,89,red prestacional almenara,lambayeque,legal entity,meropenem 500 mg,licitacion publica,0,1,1,58864.57,2022,0
2025-04-17,2025-05-26,2025-06-28,39,33,72,red prestacional rebagliati,madre de dios,consortium,ceftriaxona 1 g,licitacion publica,1,1,1,24399.68,2025,0
2023-03-13,2023-04-07,2023-04-18,25,11,36,red asistencial madre de dios,lima,legal entity,ceftriaxona 1 g,adjudicacion simplificada,0,0,1,197551.31,2023,0
2023-07-08,2023-08-22,2023-09-29,45,38,83,red prestacional sabogal,lima,legal entity,piperacilina/tazobactan 4g+500mg,licitacion publica,0,1,1,391156.9,2023,1
2023-01-21,2023-02-14,2023-02-24,24,10,34,red prestacional rebagliati,lima,legal entity,sodio cloruro 0.9%,subasta inversa electronica,0,0,1,174179.55,2023,0
2023-04-13,2023-05-08,2023-05-14,25,6,31,red prestacional almenara,arequipa,legal entity,enoxaparina 40 mg,subasta inversa electronica,0,1,0,63417.54,2023,0
2023-05-02,2023-07-07,2023-08-15,66,39,105,red asistencial arequipa,loreto,legal entity,ceftriaxona 1 g,licitacion publica,0,1,1,835561.72,2023,0
2023-08-03,2023-08-25,2023-09-09,22,15,37,red asistencial la libertad,lambayeque,legal entity,cicloserine 250 mg,subasta inversa electronica,0,1,1,1340950.47,2023,0
2024-11-26,2024-12-07,2024-12-21,11,14,25,red asistencial ancash,lima,consortium,piperacilina/tazobactan 4g+500mg,contratacion directa,1,1,1,96060.13,2024,1
2022-03-29,2022-05-26,2022-07-14,58,49,107,red prestacional lambayeque,piura,legal entity,ritonavir 100 mg,licitacion publica,0,1,0,43667.37,2022,0
2023-04-10,2023-04-15,2023-05-05,5,20,25,red prestacional rebagliati,cusco,legal entity,ceftriaxona 1 g,adjudicacion simplificada,0,0,1,138038.7,2023,0
2022-12-26,2023-01-20,2023-01-26,25,6,31,red asistencial la libertad,lambayeque,legal entity,insulina glargina 100 ui/ml,adjudicacion simplificada,0,1,1,49195.48,2022,0
2022-06-01,2022-07-09,2022-08-11,38,33,71,red prestacional almenara,lima,natural person,ritonavir 100 mg,licitacion publica,0,1,0,130729.34,2022,1
2023-05-11,2023-06-12,2023-06-22,32,10,42,red prestacional almenara,cusco,legal entity,cicloserine 250 mg,adjudicacion simplificada,0,1,1,31662.55,2023,0
2023-05-30,2023-06-23,2023-07-04,24,11,35,red asistencial ancash,ancash,legal entity,hipromelosa 0.3%,contratacion directa,0,0,0,637879.85,2023,1
2023-11-05,2023-12-04,2023-12-19,29,15,44,red prestacional sabogal,lima,legal entity,cefalexina 500 mg,subasta inversa electronica,0,0,0,57237.23,2023,0
2022-09-15,2022-11-12,2022-12-11,58,29,87,red prestacional almenara,apurimac,legal entity,dextrometorfano 15mg/5ml,licitacion publica,0,0,1,506802.91,2022,0
2024-12-09,2024-12-28,2025-01-11,19,14,33,red asistencial madre de dios,la libertad,consortium,hipromelosa 0.3%,adjudicacion simplificada,1,0,0,39682.4,2024,0
2024-10-20,2024-12-14,2025-01-25,55,42,97,red asistencial arequipa,loreto,legal entity,insulina glargina 100 ui/ml,licitacion publica,0,1,1,7902942.27,2024,1
2023-07-11,2023-07-29,2023-08-14,18,16,34,red prestacional almenara,lambayeque,legal entity,ritonavir 100 mg,adjudicacion simplificada,0,1,0,107718.47,2023,0
2023-10-04,2023-10-13,2023-10-24,9,11,20,red asistencial ancash,loreto,legal entity,sodio cloruro 0.9%,contratacion directa,0,0,1,82676.83,2023,1
2024-06-09,2024-07-23,2024-08-13,44,21,65,red asistencial arequipa,lima,legal entity,meropenem 500 mg,licitacion publica,0,1,0,166820.59,2024,0
2023-11-10,2024-01-17,2024-02-17,68,31,99,red asistencial loreto,apurimac,legal entity,enoxaparina 40 mg,licitacion publica,0,0,1,259079.97,2023,0
2022-01-22,2022-02-02,2022-02-21,11,19,30,red asistencial loreto,lima,consortium,meropenem 500 mg,contratacion directa,1,1,1,220056.88,2022,1
2022-09-10,2022-09-27,2022-10-26,17,29,46,red prestacional lambayeque,arequipa,legal entity,cicloserine 250 mg,adjudicacion simplificada,0,1,1,655300.09,2022,1
2023-08-24,2023-09-25,2023-10-08,32,13,45,red prestacional rebagliati,la libertad,legal entity,hipromelosa 0.3%,subasta inversa electronica,0,0,0,1610921.5,2023,0
2023-12-11,2024-01-16,2024-02-05,36,20,56,red asistencial ancash,la libertad,legal entity,enoxaparina 40 mg,licitacion publica,0,1,1,123914.08,2023,0
2022-02-18,2022-03-13,2022-03-19,23,6,29,red prestacional almenara,lima,natural person,cicloserine 250 mg,adjudicacion simplificada,0,1,1,263954.43,2022,0
2022-02-28,2022-03-27,2022-04-16,27,20,47,red prestacional sabogal,lima,legal entity,clotrimazol 1%,adjudicacion simplificada,0,0,0,388570.39,2022,1
2025-06-19,2025-09-12,2025-11-06,85,55,140,red prestacional almenara,lima,legal entity,meropenem 500 mg,licitacion publica,0,1,1,277320.82,2025,1
2023-07-07,2023-08-14,2023-09-12,38,29,67,red prestacional rebagliati,apurimac,natural person,cicloserine 250 mg,licitacion publica,0,1,1,173956.98,2023,0
2023-09-28,2023-11-06,2023-12-05,39,29,68,red prestacional sabogal,lambayeque,legal entity,omeprazol 20 mg,licitacion publica,0,1,0,119830.25,2023,0
2023-07-09,2023-08-02,2023-08-06,24,4,28,red prestacional almenara,lima,legal entity,clotrimazol 1%,adjudicacion simplificada,0,0,0,299913.78,2023,0
2022-06-24,2022-07-11,2022-07-27,17,16,33,red prestacional sabogal,lambayeque,consortium,paracetamol 500 mg,adjudicacion simplificada,1,0,0,251466.59,2022,0
2023-02-20,2023-04-23,2023-06-04,62,42,104,red prestacional rebagliati,ancash,legal entity,hipromelosa 0.3%,licitacion publica,0,0,0,452576.65,2023,0
2023-12-30,2024-03-09,2024-04-23,70,45,115,red asistencial loreto,apurimac,legal entity,dextrometorfano 15mg/5ml,licitacion publica,0,0,0,846029.62,2023,0
2022-02-24,2022-03-19,2022-04-04,23,16,39,red prestacional almenara,madre de dios,legal entity,sodio cloruro 0.9%,adjudicacion simplificada,0,0,1,578651.58,2022,0
2024-08-31,2024-11-11,2024-12-28,72,47,119,red prestacional rebagliati,lima,legal entity,meropenem 500 mg,licitacion publica,0,1,1,825268.17,2024,1
2022-11-16,2022-12-04,2022-12-13,18,9,27,red prestacional lambayeque,lima,legal entity,ritonavir 100 mg,adjudicacion simplificada,0,1,0,36639.5,2022,0
2023-05-11,2023-06-22,2023-08-04,42,43,85,red prestacional lambayeque,lima,natural person,ritonavir 100 mg,licitacion publica,0,1,0,48553.23,2023,0
2023-11-03,2023-12-27,2024-02-07,54,42,96,red prestacional almenara,loreto,legal entity,cicloserine 250 mg,licitacion publica,0,1,1,689583.89,2023,1
2023-05-15,2023-06-02,2023-06-19,18,17,35,red asistencial la libertad,lima,natural person,meropenem 500 mg,adjudicacion simplificada,0,0,1,395112.57,2023,0
2022-01-21,2022-02-18,2022-03-24,28,34,62,red prestacional lambayeque,madre de dios,legal entity,enoxaparina 40 mg,licitacion publica,0,1,1,67563.07,2022,0
2023-11-25,2023-12-17,2024-01-04,22,18,40,red prestacional rebagliati,lima,legal entity,piperacilina/tazobactan 4g+500mg,subasta inversa electronica,0,1,1,64405.69,2023,0
2023-06-16,2023-07-14,2023-07-24,28,10,38,red prestacional rebagliati,lambayeque,natural person,cicloserine 250 mg,subasta inversa electronica,0,1,1,546513.23,2023,0
2024-09-30,2024-10-15,2024-11-01,15,17,32,red prestacional almenara,lima,natural person,sodio cloruro 0.9%,adjudicacion simplificada,0,0,1,1219612.36,2024,0
2024-03-29,2024-04-08,2024-04-20,10,12,22,red asistencial arequipa,lima,legal entity,cefalexina 500 mg,subasta inversa electronica,0,1,0,1951242.9,2024,0
2024-11-11,2025-01-10,2025-02-06,60,27,87,red prestacional lambayeque,lima,legal entity,sodio cloruro 0.9%,licitacion publica,0,0,1,1191987.94,2024,0
2022-01-14,2022-04-05,2022-05-16,81,41,122,red prestacional almenara,ancash,legal entity,sodio cloruro 0.9%,licitacion publica,0,0,1,187363.07,2022,1
2024-08-29,2024-09-17,2024-10-17,19,30,49,red asistencial la libertad,lima,legal entity,sodio cloruro 0.9%,subasta inversa electronica,0,0,1,3109115.7,2024,1
